iter	Passed	Remaining
1250	3789	5297
1251	3793	5295
1252	3796	5293
1253	3800	5292
1254	3804	5290
1255	3807	5287
1256	3811	5284
1257	3815	5282
1258	3818	5280
1259	3821	5277
1260	3824	5273
1261	3826	5270
1262	3829	5267
1263	3833	5264
1264	3836	5261
1265	3839	5258
1266	3843	5256
1267	3847	5254
1268	3850	5252
1269	3853	5248
1270	3856	5246
1271	3859	5243
1272	3863	5240
1273	3866	5238
1274	3870	5236
1275	3873	5233
1276	3877	5231
1277	3880	5229
1278	3884	5227
1279	3888	5224
1280	3891	5221
1281	3894	5219
1282	3898	5216
1283	3901	5214
1284	3905	5212
1285	3908	5209
1286	3912	5207
1287	3916	5205
1288	3920	5203
1289	3923	5201
1290	3927	5198
1291	3930	5196
1292	3934	5193
1293	3937	5191
1294	3941	5189
1295	3944	5186
1296	3947	5183
1297	3951	5180
1298	3954	5178
1299	3957	5174
1300	3960	5172
1301	3964	5169
1302	3967	5166
1303	3970	5164
1304	3974	5162
1305	3977	5159
1306	3982	5158
1307	3986	5156
1308	3990	5154
1309	3993	5152
1310	3997	5150
1311	4000	5146
1312	4003	5143
1313	4005	5140
1314	4008	5136
1315	4011	5133
1316	4014	5130
1317	4017	5127
1318	4020	5124
1319	4023	5121
1320	4028	5119
1321	4030	5116
1322	4034	5114
1323	4038	5112
1324	4042	5109
1325	4045	5107
1326	4048	5104
1327	4051	5101
1328	4055	5099
1329	4059	5097
1330	4062	5094
1331	4066	5091
1332	4069	5089
1333	4072	5086
1334	4075	5083
1335	4078	5080
1336	4082	5077
1337	4085	5074
1338	4088	5072
1339	4092	5069
1340	4096	5067
1341	4099	5064
1342	4103	5062
1343	4106	5059
1344	4109	5056
1345	4113	5055
1346	4117	5052
1347	4121	5050
1348	4125	5048
1349	4128	5045
1350	4131	5042
1351	4135	5041
1352	4138	5038
1353	4142	5035
1354	4145	5033
1355	4149	5031
1356	4163	5041
1357	4172	5045
1358	4178	5045
1359	4184	5045
1360	4190	5046
1361	4194	5044
1362	4198	5042
1363	4201	5039
1364	4204	5035
1365	4206	5032
1366	4210	5029
1367	4213	5026
1368	4216	5023
1369	4219	5020
1370	4222	5017
1371	4225	5014
1372	4229	5011
1373	4232	5008
1374	4235	5005
1375	4238	5002
1376	4242	5000
1377	4246	4997
1378	4249	4995
1379	4253	4993
1380	4257	4990
1381	4260	4988
1382	4264	4985
1383	4268	4983
1384	4272	4981
1385	4275	4978
1386	4279	4977
1387	4283	4974
1388	4287	4972
1389	4290	4969
1390	4294	4967
1391	4297	4964
1392	4300	4961
1393	4303	4958
1394	4306	4954
1395	4309	4951
1396	4312	4948
1397	4316	4945
1398	4319	4943
1399	4323	4940
1400	4326	4937
1401	4329	4934
1402	4332	4932
1403	4336	4929
1404	4339	4925
1405	4342	4923
1406	4346	4920
1407	4349	4917
1408	4351	4913
1409	4353	4909
1410	4357	4906
1411	4360	4903
1412	4363	4900
1413	4366	4897
1414	4368	4893
1415	4371	4889
1416	4374	4886
1417	4376	4883
1418	4380	4880
1419	4384	4878
1420	4387	4875
1421	4390	4872
1422	4393	4869
1423	4397	4866
1424	4400	4863
1425	4404	4861
1426	4407	4858
1427	4411	4856
1428	4414	4853
1429	4418	4851
1430	4421	4848
1431	4424	4845
1432	4427	4841
1433	4430	4837
1434	4432	4834
1435	4435	4830
1436	4438	4827
1437	4441	4824
1438	4444	4821
1439	4448	4819
1440	4451	4816
1441	4454	4812
1442	4457	4809
1443	4460	4806
1444	4462	4802
1445	4465	4799
1446	4468	4796
1447	4472	4793
1448	4475	4790
1449	4479	4788
1450	4483	4785
1451	4485	4782
1452	4488	4779
1453	4492	4776
1454	4495	4773
1455	4497	4769
1456	4500	4766
1457	4503	4762
1458	4506	4759
1459	4509	4756
1460	4512	4753
1461	4514	4749
1462	4517	4746
1463	4520	4743
1464	4523	4739
1465	4526	4736
1466	4529	4733
1467	4532	4729
1468	4534	4726
1469	4537	4723
1470	4541	4720
1471	4544	4717
1472	4548	4715
1473	4551	4712
1474	4555	4709
1475	4557	4706
1476	4560	4702
1477	4563	4699
1478	4566	4696
1479	4570	4693
1480	4573	4691
1481	4578	4689
1482	4581	4687
1483	4585	4684
1484	4588	4681
1485	4591	4678
1486	4594	4674
1487	4597	4671
1488	4600	4668
1489	4603	4665
1490	4607	4662
1491	4609	4659
1492	4612	4655
1493	4615	4652
1494	4618	4649
1495	4621	4646
1496	4624	4642
1497	4626	4639
1498	4629	4636
1499	4633	4633
1500	4636	4630
1501	4639	4627
1502	4642	4623
1503	4645	4620
1504	4647	4616
1505	4651	4614
1506	4654	4610
1507	4656	4607
1508	4660	4604
1509	4663	4601
1510	4667	4599
1511	4670	4596
1512	4674	4594
1513	4677	4591
1514	4681	4588
1515	4684	4585
1516	4687	4582
1517	4690	4579
1518	4692	4575
1519	4695	4572
1520	4698	4568
1521	4701	4565
1522	4704	4562
1523	4707	4559
1524	4711	4556
1525	4714	4554
1526	4718	4551
1527	4722	4549
1528	4725	4546
1529	4729	4543
1530	4732	4540
1531	4735	4537
1532	4739	4535
1533	4742	4532
1534	4744	4528
1535	4748	4525
1536	4751	4522
1537	4754	4519
1538	4757	4516
1539	4760	4513
1540	4763	4509
1541	4766	4507
1542	4770	4504
1543	4773	4501
1544	4776	4498
1545	4780	4495
1546	4783	4492
1547	4788	4491
1548	4802	4498
1549	4812	4502
1550	4816	4499
1551	4825	4501
1552	4828	4498
1553	4831	4495
1554	4835	4493
1555	4838	4490
1556	4841	4486
1557	4844	4483
1558	4846	4479
1559	4849	4476
1560	4852	4473
1561	4855	4469
1562	4857	4466
1563	4860	4463
1564	4864	4459
1565	4867	4457
1566	4870	4454
1567	4873	4450
1568	4876	4447
1569	4879	4444
1570	4883	4441
1571	4886	4439
1572	4890	4436
1573	4892	4432
1574	4896	4429
1575	4900	4427
1576	4903	4424
1577	4905	4420
1578	4909	4417
1579	4912	4414
1580	4915	4411
1581	4918	4408
1582	4921	4405
1583	4924	4401
1584	4926	4398
1585	4929	4394
1586	4932	4391
1587	4935	4388
1588	4938	4385
1589	4941	4381
1590	4943	4378
1591	4946	4375
1592	4949	4372
1593	4952	4368
1594	4955	4365
1595	4958	4361
1596	4961	4358
1597	4963	4355
1598	4966	4351
1599	4969	4348
1600	4973	4345
1601	4976	4342
1602	4980	4340
1603	4983	4337
1604	4986	4333
1605	4989	4330
1606	4992	4328
1607	4996	4325
1608	5000	4322
1609	5002	4319
1610	5006	4316
1611	5010	4313
1612	5013	4311
1613	5017	4309
1614	5021	4306
1615	5025	4303
1616	5028	4300
1617	5031	4297
1618	5034	4294
1619	5036	4290
1620	5040	4287
1621	5042	4284
1622	5045	4281
1623	5048	4277
1624	5052	4275
1625	5055	4272
1626	5059	4269
1627	5062	4266
1628	5065	4263
1629	5068	4259
1630	5071	4256
1631	5074	4253
1632	5077	4250
1633	5079	4246
1634	5082	4243
1635	5085	4240
1636	5088	4237
1637	5092	4234
1638	5095	4230
1639	5098	4227
1640	5101	4224
1641	5104	4221
1642	5107	4218
1643	5111	4215
1644	5115	4213
1645	5118	4210
1646	5121	4207
1647	5124	4204
1648	5126	4200
1649	5130	4197
1650	5133	4194
1651	5136	4191
1652	5139	4188
1653	5142	4184
1654	5145	4181
1655	5149	4178
1656	5152	4175
1657	5154	4172
1658	5157	4169
1659	5161	4166
1660	5164	4163
1661	5167	4159
1662	5170	4156
1663	5173	4153
1664	5176	4150
1665	5179	4147
1666	5183	4144
1667	5187	4142
1668	5190	4139
1669	5194	4136
1670	5197	4133
1671	5200	4130
1672	5203	4127
1673	5206	4123
1674	5208	4120
1675	5212	4117
1676	5214	4113
1677	5218	4111
1678	5222	4108
1679	5226	4106
1680	5229	4103
1681	5232	4099
1682	5235	4096
1683	5237	4093
1684	5240	4089
1685	5243	4086
1686	5246	4083
1687	5248	4079
1688	5252	4076
1689	5255	4073
1690	5258	4070
1691	5261	4067
1692	5265	4064
1693	5268	4061
1694	5271	4058
1695	5273	4054
1696	5277	4051
1697	5279	4048
1698	5283	4045
1699	5286	4042
1700	5289	4039
1701	5294	4037
1702	5298	4034
1703	5301	4031
1704	5304	4028
1705	5307	4025
1706	5310	4022
