country,agricultural_land_percent,forest_land_percent,trade_in_services_percent,control_of_corruption_estimate,access_to_electricity_percent,renewvable_energy_consumption_percent,co2_emisions,inflation_annual_percent,goverment_effectiveness_estimate,doing_business,individuals_using_internet_percent,gdp_current_us,political_stability_estimate,rule_of_law_estimate,government_expenditure_on_education_percent,government_health_expenditure_percent,life_expectancy_at_birth,population,voice_and_accountability_estimate,intentional_homicides,income_group,continent
Lebanon,65.53607038123168,13.83479960899316,55.25131563647932,-1.0440604567527754,99.80733551025389,4.396,27652.120000000003,1.7742451766948022,-0.5654686510562896,143.0,77.789931618,52122361116.73576,-1.646020436286926,-0.811957859992981,2.347826421260835,3.564765646,79.4706,6099911.4,-0.5175633192062378,3.48591481943055,Lower_middle,Asia
Lesotho,78.15085638998683,1.13702239789196,19.7171069475065,-0.06944658607244501,38.42214454650878,41.559999999999995,2249.88,4.8403072051029925,-0.8771732091903687,122.0,35.911118104,2343121845.288424,-0.274874860048294,-0.2942128479480744,7.8241127014160154,5.247230816,52.867,2171345.8,0.018023949302732857,,Lower_middle,Africa
Liberia,19.45508305647842,80.02720099667772,9.820179649158396,-0.777587914466858,20.59937839508056,92.47999999999999,1237.3780000000002,13.141523211416475,-1.3541745185852059,175.0,16.876518093999998,3351710000.0,-0.42460726499557494,-0.9640905976295473,2.378371620178224,1.405901096,60.4148,4797947.4,-0.07914089933037757,,Low,Africa
Libya,8.72387101174171,0.123327687918433,8.329136010689027,-1.563748502731326,70.41767730712891,2.9699999999999998,52182.78,14.61356221381223,-1.662161612510678,186.0,,62345447125.486374,-2.36374077796936,-1.67052867412567,,,72.23859999999999,6379914.6,-1.444119000434876,,Upper_middle,Asia
Liechtenstein,32.4375,41.875,,1.974192309379578,100.0,55.924,151.4715132,,1.6745220422744758,,96.8569495975,6421842745.29788,1.48024134635925,1.639777016639708,,,83.1726829268293,37903.2,1.288357281684876,1.571408911136406,High,Europe
Lithuania,47.31130189919055,35.0306498744595,32.43936004485198,0.5823599874973296,100.0,32.296,11376.2,1.7553506929922051,1.0308221101760864,11.0,76.934882446,48160304525.75222,0.7659246683120728,0.969316053390503,3.9808340549469023,4.347583483999999,75.28731707317077,2839444.8,0.9713878273963932,4.191955944401476,High,Europe
Luxembourg,50.98001134218442,34.4538272103664,275.740696725177,2.0328190326690683,100.0,14.081999999999999,9161.38,1.1535784171144492,1.68515739440918,72.0,97.211661512,65778303015.823044,1.3646614789962759,1.7555194616317742,3.6116952419281,4.413562394,82.40146341463415,595181.0,1.52061631679535,0.6418630381397448,High,Europe
Macau,,,86.05443270362093,0.6601847290992738,100.0,6.304,,2.7828077320116162,1.2346259832382198,,82.53584434199999,50155165118.40794,1.2860035181045542,0.8763302087783813,2.91916799545288,,84.5368,639036.0,-0.11537474989891057,0.24877489853748597,High,Asia
Madagascar,70.2904778274321,21.43255414231694,19.62367039748856,-0.992352902889251,27.65900402832032,82.886,3435.982,7.250749016285207,-1.231971192359924,161.0,7.1637993818,12842529222.81868,-0.3835219860076904,-0.853199338912963,2.691233587265016,1.866685606,65.1164,26180414.0,-0.3196621865034104,,Low,Africa
Malawi,61.70131523122613,25.113491726771322,5.8232349267490235,-0.7632463693618772,12.744,76.42,1392.158,15.382573770352,-0.7718976497650146,109.0,8.14783997,9395786721.617231,-0.20995632633566852,-0.3734515070915222,3.307127475738525,1.776682426,62.7918,17892190.6,-0.050172822829335995,,Low,Africa
Malaysia,26.086726525642938,58.69540709176685,24.3726474556424,0.14742193380370733,99.9475765991211,4.792,235867.26,1.9227517163438002,0.906706738471984,12.0,79.076210076,329137392345.93396,0.1777396008372306,0.4395189642906188,4.269233560562133,1.9560758360000001,75.4526,31954869.6,-0.27103646546602256,1.2353023639965006,Upper_middle,Asia
Maldives,21.3333333333333,2.73333333333333,87.61961258958972,-0.6143225491046905,99.91494537353516,1.224,1625.3799999999999,0.8719691599364193,-0.3496638268232346,147.0,65.466323878,4897262631.978726,0.23090954907238476,-0.517780590057373,4.225801324844362,6.408794213999999,79.9278,471308.4,-0.6262621223926544,3.1680386973914767,Upper_middle,Asia
Mali,34.72803415861464,10.896663634352,17.50998456877218,-0.6928982734680178,41.986343627929685,72.926,3637.5,0.010436098684318783,-1.0151305437088036,148.0,17.388218008,15369528832.433521,-1.8995555639266961,-0.8048682689666746,3.559857988357544,1.153804646,59.0566,19325218.0,-0.2724028646945954,,Low,Africa
Malta,32.34375,1.29375,204.5061861678406,0.6018307656049728,100.0,7.49,1548.34,1.1814978318056488,0.8931683301925657,88.0,80.496743906,13528162631.291561,1.1286787748336802,1.0251371502876283,4.917136478424074,5.553223514,82.4009756097561,471420.0,1.150236511230468,1.246743122929823,High,Asia
